accuracy,precision,recall
0.6071428656578064,0.9720372557640076,0.9590039849281311
0.5516917109489441,0.9719670414924622,0.9588595032691956
0.6231203079223633,0.9718976616859436,0.9587382078170776
0.6080827116966248,0.9718355536460876,0.9586063623428345
0.5667293071746826,0.9717657566070557,0.958474338054657
0.606203019618988,0.971686065196991,0.9583379030227661
0.5366541147232056,0.9716102480888367,0.9581962823867798
0.5723684430122375,0.9715346097946167,0.9580494165420532
0.6090225577354431,0.9714706540107727,0.9579236507415771
0.5639097690582275,0.971404492855072,0.9577932953834534
0.5780075192451477,0.9713424444198608,0.9576834440231323
0.6043233275413513,0.9712796807289124,0.9575533866882324
0.5930451154708862,0.9712165594100952,0.9574344754219055
0.5845864415168762,0.9711518287658691,0.9573140740394592
0.5667293071746826,0.971082329750061,0.957171618938446
0.5883458852767944,0.9710239171981812,0.9570536613464355
0.6118420958518982,0.9709534645080566,0.9569165706634521
0.5817669034004211,0.970883309841156,0.9567912817001343
0.5667293071746826,0.9708072543144226,0.9566611051559448
0.63345867395401,0.9707474708557129,0.9565539360046387
0.6109022498130798,0.9706849455833435,0.9564434289932251
0.6080827116966248,0.9706332087516785,0.9563246369361877
0.6137217879295349,0.9705820679664612,0.9562145471572876
0.6005638837814331,0.9705365300178528,0.956119179725647
0.6043233275413513,0.9704806208610535,0.956012487411499
0.6203007698059082,0.9704090356826782,0.9558942317962646
0.606203019618988,0.9703717231750488,0.9558055996894836
0.5695488452911377,0.9702923893928528,0.9556687474250793
0.6362782120704651,0.9702222347259521,0.9555441737174988
0.6080827116966248,0.9701640009880066,0.9554290771484375
