accuracy,precision,recall
0.7465757727622986,0.6576820015907288,0.8454217910766602
0.7799889445304871,0.6576733589172363,0.8453978300094604
0.7479884624481201,0.6576647758483887,0.8453680276870728
0.7282721996307373,0.6576560139656067,0.845344603061676
0.7176463603973389,0.6576538681983948,0.8453155755996704
0.7699772715568542,0.6576530933380127,0.845299482345581
0.6713960766792297,0.6576428413391113,0.8452743291854858
0.7513666152954102,0.6576327681541443,0.8452449440956116
0.7603955268859863,0.6576256155967712,0.8452154397964478
0.7073275446891785,0.6576226949691772,0.8451874256134033
0.7293163537979126,0.6576143503189087,0.8451623916625977
0.7645107507705688,0.6576043963432312,0.8451324105262756
0.6673423051834106,0.6575956344604492,0.8451141119003296
0.7064062356948853,0.6575921773910522,0.8450917601585388
0.7017996311187744,0.6575832962989807,0.8450625538825989
0.7257539629936218,0.6575717329978943,0.845034122467041
0.7764264941215515,0.6575645804405212,0.8450096845626831
0.7304834127426147,0.6575616598129272,0.8449820876121521
0.7355199456214905,0.65755295753479,0.8449639081954956
0.7490940093994141,0.6575506329536438,0.8449401259422302
0.7545605301856995,0.657534658908844,0.8449118137359619
0.7282108068466187,0.6575317978858948,0.8448882102966309
0.7449173927307129,0.657528817653656,0.8448665142059326
0.628831148147583,0.657512903213501,0.8448419570922852
0.7606412172317505,0.65751051902771,0.844818115234375
0.7673361301422119,0.6575013995170593,0.8447897434234619
0.6802407503128052,0.6575005054473877,0.8447645306587219
0.7192432880401611,0.6574917435646057,0.8447358012199402
0.7518579959869385,0.6574801802635193,0.8447203636169434
0.7670904994010925,0.657473087310791,0.844696044921875
