accuracy,precision,recall
0.747742772102356,0.7605270147323608,0.7605269551277161
0.7323874235153198,0.7604987621307373,0.7604987621307373
0.765677809715271,0.7604696154594421,0.7604696154594421
0.750568151473999,0.7604466676712036,0.7604466676712036
0.7158036828041077,0.7604293823242188,0.7604293823242188
0.7488483786582947,0.7604063749313354,0.7604063749313354
0.6590504050254822,0.7603760957717896,0.7603760957717896
0.7492168545722961,0.7603468298912048,0.7603467702865601
0.7779620289802551,0.7603230476379395,0.7603230476379395
0.6931392550468445,0.7602944374084473,0.7602944374084473
0.7425833940505981,0.7602643966674805,0.7602643370628357
0.7642651200294495,0.7602458596229553,0.7602458596229553
0.7106443047523499,0.7602130174636841,0.7602128982543945
0.7427676320075989,0.7601853013038635,0.7601852416992188
0.7094773054122925,0.7601604461669922,0.7601604461669922
0.742890477180481,0.7601299285888672,0.7601299285888672
0.7801117897033691,0.7600994110107422,0.7600994110107422
0.7302377223968506,0.7600713968276978,0.7600713968276978
0.719120442867279,0.7600409388542175,0.7600409388542175
0.7524722218513489,0.760017991065979,0.760017991065979
0.7474970817565918,0.7599895000457764,0.7599895000457764
0.693876326084137,0.7599740028381348,0.7599738836288452
0.7176463603973389,0.75994873046875,0.75994873046875
0.6485474109649658,0.7599185705184937,0.7599185705184937
0.7670290470123291,0.7598899006843567,0.7598898410797119
0.7452244758605957,0.7598673105239868,0.759867250919342
0.6930164098739624,0.7598446607589722,0.7598444223403931
0.7452859282493591,0.7598192095756531,0.7598192095756531
0.7192432880401611,0.7597942352294922,0.7597942352294922
0.782691478729248,0.759765625,0.759765625
