accuracy,precision,recall
0.20488721132278442,0.9583231806755066,0.9388167858123779
0.18890976905822754,0.9582480192184448,0.9387087821960449
0.2077067643404007,0.9582040309906006,0.938629150390625
0.21146616339683533,0.9581564664840698,0.9385519623756409
0.17293232679367065,0.9581012725830078,0.9384384155273438
0.23590224981307983,0.9580509066581726,0.9383507370948792
0.19830827414989471,0.9580022096633911,0.9382773637771606
0.18890976905822754,0.9579436182975769,0.9381850957870483
0.18609023094177246,0.9578890800476074,0.9381008744239807
0.2011278122663498,0.9578437805175781,0.9380225539207458
0.2189849615097046,0.9577813148498535,0.9379324316978455
0.18890976905822754,0.9577264189720154,0.9378445148468018
0.1964285671710968,0.957674503326416,0.9377579689025879
0.20394736528396606,0.9576324224472046,0.937678337097168
0.1964285671710968,0.9575679898262024,0.937576174736023
0.19078947603702545,0.9575247168540955,0.9375028610229492
0.20488721132278442,0.9574820399284363,0.9374216198921204
0.18421052396297455,0.9574544429779053,0.937370777130127
0.17669172585010529,0.9573929905891418,0.9372797608375549
0.17669172585010529,0.9573447108268738,0.9371994733810425
0.18421052396297455,0.9573083519935608,0.9371317625045776
0.23120300471782684,0.9572628140449524,0.9370512962341309
0.20864661037921906,0.9572128057479858,0.9369565844535828
0.19454887509346008,0.957150399684906,0.9368560910224915
0.19924812018871307,0.9571021795272827,0.9367665648460388
0.23778195679187775,0.9570440649986267,0.9366762042045593
0.15789473056793213,0.9569784998893738,0.9365789890289307
0.1917293220758438,0.9569193720817566,0.9364950060844421
0.19736842811107635,0.9568668603897095,0.9363978505134583
0.20394736528396606,0.9568101167678833,0.9363007545471191
