accuracy,precision,recall
0.9098712205886841,0.7874231934547424,0.9259194135665894
0.9012875556945801,0.7868480682373047,0.9257612228393555
0.9184549450874329,0.7862385511398315,0.92559814453125
0.9055793881416321,0.7858079075813293,0.9254432320594788
0.9055793881416321,0.7852053642272949,0.9252870082855225
0.9055793881416321,0.7848058342933655,0.9251427054405212
0.9356223344802856,0.7843387126922607,0.9250186681747437
0.8798283338546753,0.7837541699409485,0.9248747229576111
0.9055793881416321,0.783044695854187,0.924707293510437
0.8712446093559265,0.7824952602386475,0.9245260953903198
0.8626609444618225,0.7817627787590027,0.9244710803031921
0.9184549450874329,0.7813549041748047,0.9242559671401978
0.9184549450874329,0.7810174226760864,0.9241559505462646
0.9184549450874329,0.7806586027145386,0.9239755868911743
0.8583691120147705,0.7799891233444214,0.9238241910934448
0.8755365014076233,0.7793000936508179,0.9236484169960022
0.9098712205886841,0.7787460088729858,0.9234495759010315
0.9098712205886841,0.7783865332603455,0.9233240485191345
0.9141631126403809,0.7778441309928894,0.9231669306755066
0.9055793881416321,0.777510941028595,0.9231134653091431
0.8626609444618225,0.7771367430686951,0.9229769110679626
0.8884119987487793,0.7765935063362122,0.922857940196991
0.9055793881416321,0.7761773467063904,0.9227221608161926
0.9141631126403809,0.775772213935852,0.9226450324058533
0.8454935550689697,0.7752770781517029,0.9225022196769714
0.8969957232475281,0.7747582197189331,0.9223216772079468
0.8884119987487793,0.7743241190910339,0.9221838116645813
0.8884119987487793,0.7738951444625854,0.9221068620681763
0.8841201663017273,0.7733234167098999,0.9219924211502075
0.9098712205886841,0.7728381752967834,0.9218065738677979
