accuracy,precision,recall
0.1919415295124054,0.5488392114639282,0.5488389730453491
0.18825624883174896,0.5487338900566101,0.5487337112426758
0.20637552440166473,0.54861980676651,0.5486196875572205
0.20637552440166473,0.548500657081604,0.5485004782676697
0.18235979974269867,0.5483843684196472,0.5483843684196472
0.18100853264331818,0.5482698082923889,0.5482696890830994
0.18887045979499817,0.5481595993041992,0.5481594800949097
0.17916589975357056,0.548048734664917,0.548048734664917
0.18536944687366486,0.5479432940483093,0.5479432344436646
0.1818070113658905,0.5478252172470093,0.5478251576423645
0.1727166622877121,0.5477132201194763,0.5477132201194763
0.1893618255853653,0.547594428062439,0.547594428062439
0.1808857023715973,0.5474862456321716,0.5474862456321716
0.18248264491558075,0.5473668575286865,0.5473668575286865
0.19685523211956024,0.5472530722618103,0.5472528338432312
0.18536944687366486,0.5471342206001282,0.5471341609954834
0.1916344165802002,0.5470250248908997,0.5470247864723206
0.18064001202583313,0.5469092726707458,0.5469092726707458
0.1807628571987152,0.5468066930770874,0.5468065142631531
0.18401817977428436,0.5466977953910828,0.5466976761817932
0.17412935197353363,0.5465877056121826,0.5465874671936035
0.1765247881412506,0.5464823842048645,0.5464823842048645
0.18530802428722382,0.5463622212409973,0.5463621020317078
0.17916589975357056,0.546247661113739,0.5462475419044495
0.1724095642566681,0.5461322069168091,0.5461322069168091
0.18549229204654694,0.5460259914398193,0.546025812625885
0.1850009262561798,0.5459186434745789,0.5459186434745789
0.18536944687366486,0.5458102226257324,0.5458101630210876
0.17812173068523407,0.5456912517547607,0.5456911325454712
0.19439837336540222,0.5455777049064636,0.5455777049064636
