accuracy,precision,recall
0.9266917109489441,0.8900486826896667,0.8909854292869568
0.9266917109489441,0.8900123834609985,0.8909167051315308
0.9248120188713074,0.8899479508399963,0.8908403515815735
0.9219924807548523,0.889892578125,0.8907615542411804
0.9295112490653992,0.8898119330406189,0.8906667828559875
0.9257518649101257,0.8897462487220764,0.8905892968177795
0.9295112490653992,0.8896716237068176,0.890504777431488
0.9351503849029541,0.8896174430847168,0.8904271125793457
0.9210526347160339,0.889564573764801,0.8903596997261047
0.9219924807548523,0.8895138502120972,0.8902886509895325
0.9257518649101257,0.889454185962677,0.8902145624160767
0.9276315569877625,0.8893885016441345,0.890129029750824
0.9295112490653992,0.88934326171875,0.8900592923164368
0.9229323267936707,0.8892936706542969,0.8899916410446167
0.9276315569877625,0.8892640471458435,0.8899344801902771
0.9248120188713074,0.8892114162445068,0.8898711204528809
0.9257518649101257,0.8891611695289612,0.8897988796234131
0.9313910007476807,0.8891220092773438,0.889744222164154
0.9332706928253174,0.8890703916549683,0.8896732330322266
0.923872172832489,0.889022707939148,0.8895968198776245
0.9219924807548523,0.8889884948730469,0.8895396590232849
0.9285714030265808,0.8889269828796387,0.8894670605659485
0.9229323267936707,0.8888754844665527,0.8893978595733643
0.932330846786499,0.8888220191001892,0.8893176913261414
0.9248120188713074,0.888778030872345,0.8892536163330078
0.9248120188713074,0.8887232542037964,0.8891803622245789
0.923872172832489,0.8886641263961792,0.8891022801399231
0.9276315569877625,0.8886221051216125,0.8890395164489746
0.9257518649101257,0.8885664939880371,0.8889794945716858
0.9219924807548523,0.888536274433136,0.8889272212982178
