accuracy,precision,recall
0.842884361743927,0.8547147512435913,0.8475319147109985
0.8420244455337524,0.8547601103782654,0.8475646376609802
0.8437442183494568,0.8547673225402832,0.8476256728172302
0.8439285159111023,0.8547974228858948,0.8476473093032837
0.8473681211471558,0.8548566102981567,0.8476849794387817
0.844112753868103,0.8548659086227417,0.8477082848548889
0.8464467525482178,0.8548961281776428,0.8477240800857544
0.8406731486320496,0.854926586151123,0.8477709293365479
0.8437442183494568,0.8549524545669556,0.8477783203125
0.8501935005187988,0.8549826145172119,0.8478174805641174
0.8458939790725708,0.8550198674201965,0.8478387594223022
0.8442355990409851,0.855071485042572,0.8478394746780396
0.843437135219574,0.8550910353660583,0.8478625416755676
0.8469995856285095,0.8551257848739624,0.8478787541389465
0.8466310501098633,0.8551613688468933,0.8478986620903015
0.8460782766342163,0.855187177658081,0.847909152507782
0.8436828255653381,0.8551953434944153,0.8479313850402832
0.846815288066864,0.8552314043045044,0.847961962223053
0.8442355990409851,0.8552640676498413,0.8480229377746582
0.8442355990409851,0.8553093671798706,0.8480618596076965
0.8469381332397461,0.8553681969642639,0.8481428027153015
0.848842203617096,0.8554165959358215,0.8481744527816772
0.846815288066864,0.8554756045341492,0.8481823801994324
0.8472452759742737,0.8555319905281067,0.848236083984375
0.8467538952827454,0.8556191325187683,0.8482897877693176
0.8459554314613342,0.8556523323059082,0.8483361601829529
0.8479208946228027,0.855711042881012,0.8483880758285522
0.8444812893867493,0.8557451367378235,0.8484277129173279
0.845586895942688,0.8557956218719482,0.8484804034233093
0.8476138114929199,0.8558343648910522,0.8485112190246582
