accuracy,precision,recall
0.9227467775344849,0.714898407459259,0.7678792476654053
0.9270386099815369,0.7149533033370972,0.7679105401039124
0.9313304424285889,0.7149949073791504,0.7679282426834106
0.9570815563201904,0.7150436639785767,0.7679542899131775
0.9484978318214417,0.7150997519493103,0.7679889798164368
0.9356223344802856,0.7151488661766052,0.7680147290229797
0.9442059993743896,0.7151922583580017,0.7680259346961975
0.9184549450874329,0.7152467966079712,0.7680583596229553
0.9442059993743896,0.7152917981147766,0.7680800557136536
0.9442059993743896,0.7153251767158508,0.7680863738059998
0.9484978318214417,0.7153777480125427,0.7681177258491516
0.9313304424285889,0.7154130935668945,0.768126904964447
0.9399141669273376,0.7154529690742493,0.768131673336029
0.9227467775344849,0.7155033349990845,0.7681636214256287
0.9484978318214417,0.7155540585517883,0.7681941986083984
0.9356223344802856,0.7155914306640625,0.7682069540023804
0.9399141669273376,0.7156435251235962,0.7682368755340576
0.9484978318214417,0.7156928181648254,0.7682615518569946
0.9356223344802856,0.7157320380210876,0.7682827711105347
0.9012875556945801,0.7157686352729797,0.7682963609695435
0.9313304424285889,0.7158052921295166,0.7683138251304626
0.9399141669273376,0.7158472537994385,0.7683308720588684
0.9442059993743896,0.7158917188644409,0.7683534026145935
0.9356223344802856,0.715934157371521,0.7683738470077515
0.9484978318214417,0.7159755825996399,0.7683914303779602
0.9270386099815369,0.7160133123397827,0.7684072256088257
0.9313304424285889,0.7160564661026001,0.7684192657470703
0.9570815563201904,0.716100811958313,0.7684349417686462
0.9527897238731384,0.7161519527435303,0.768462598323822
0.9313304424285889,0.7161353826522827,0.7685374617576599
