accuracy,precision,recall
0.9313304424285889,0.9480044841766357,0.9480043649673462
0.9356223344802856,0.9479861855506897,0.9479861259460449
0.9356223344802856,0.947946310043335,0.9479461908340454
0.9484978318214417,0.9479179382324219,0.9479178786277771
0.9484978318214417,0.9478892683982849,0.9478892087936401
0.9313304424285889,0.9478236436843872,0.9478236436843872
0.9356223344802856,0.9477629065513611,0.9477627873420715
0.9442059993743896,0.9477272629737854,0.9477272033691406
0.9356223344802856,0.9476960301399231,0.9476958513259888
0.9270386099815369,0.9476420283317566,0.9476419687271118
0.9527897238731384,0.9476045966148376,0.9476045966148376
0.9442059993743896,0.9475669264793396,0.9475668668746948
0.9484978318214417,0.9475334882736206,0.947533369064331
0.9484978318214417,0.9474974274635315,0.9474973678588867
0.9313304424285889,0.9474612474441528,0.9474612474441528
0.9442059993743896,0.9474309682846069,0.9474307298660278
0.9356223344802856,0.9473729729652405,0.9473729133605957
0.9570815563201904,0.9473445415496826,0.9473443627357483
0.9399141669273376,0.9473018646240234,0.9473018050193787
0.9399141669273376,0.947258710861206,0.9472585320472717
0.9356223344802856,0.9472285509109497,0.9472284913063049
0.9227467775344849,0.9471725225448608,0.9471723437309265
0.9227467775344849,0.9471455812454224,0.9471454620361328
0.9484978318214417,0.9471285343170166,0.947128415107727
0.9356223344802856,0.9470967054367065,0.9470965266227722
0.9356223344802856,0.9470710158348083,0.9470709562301636
0.9270386099815369,0.9470372200012207,0.9470369815826416
0.9313304424285889,0.9469941854476929,0.9469941258430481
0.9313304424285889,0.9469518661499023,0.9469517469406128
0.9356223344802856,0.9469113945960999,0.9469113349914551
