accuracy,precision,recall
0.4285714328289032,0.9821267127990723,0.9597702026367188
0.45864662528038025,0.9821057915687561,0.9597238898277283
0.4595864713191986,0.9820839166641235,0.9596510529518127
0.4689849615097046,0.9820604920387268,0.9596012234687805
0.4558270573616028,0.9820454716682434,0.95955491065979
0.5018796920776367,0.9820205569267273,0.9594824314117432
0.4981203079223633,0.982006311416626,0.9594448208808899
0.40977442264556885,0.9819898009300232,0.9594004154205322
0.42575186491012573,0.9819745421409607,0.9593373537063599
0.43890976905822754,0.9819536805152893,0.9592874050140381
0.4379699230194092,0.9819395542144775,0.9592227935791016
0.4868420958518982,0.9819132685661316,0.9591662287712097
0.44924813508987427,0.9819039702415466,0.9591312408447266
0.45676690340042114,0.9818836450576782,0.9590896368026733
0.4577067792415619,0.9818598628044128,0.9590315818786621
0.3768796920776367,0.9818496704101562,0.9589860439300537
0.4464285671710968,0.981829822063446,0.95893794298172
0.42763158679008484,0.9818100929260254,0.9588934779167175
0.4107142984867096,0.9817928075790405,0.9588456153869629
0.4370300769805908,0.9817712306976318,0.9587923884391785
0.4736842215061188,0.981753408908844,0.9587306976318359
0.47462406754493713,0.9817399382591248,0.9586759209632874
0.3975563943386078,0.9817203283309937,0.9586288332939148
0.4915413558483124,0.9817075133323669,0.9585809111595154
0.4060150384902954,0.9816926121711731,0.9585443139076233
0.49436089396476746,0.9816780090332031,0.958507776260376
0.42575186491012573,0.9816536903381348,0.9584600925445557
0.44078946113586426,0.9816336035728455,0.9584094882011414
0.42575186491012573,0.9816145896911621,0.9583666324615479
0.4266917407512665,0.9815964698791504,0.9583258032798767
