accuracy,precision,recall
0.9351503849029541,0.9961354732513428,0.9917236566543579
0.9304511547088623,0.9961334466934204,0.9917207360267639
0.9342105388641357,0.996130645275116,0.991714596748352
0.9370300769805908,0.996136486530304,0.9917097687721252
0.9351503849029541,0.9961387515068054,0.9917054772377014
0.932330846786499,0.99614018201828,0.9917036890983582
0.932330846786499,0.9961380958557129,0.9916969537734985
0.9304511547088623,0.996134340763092,0.9916884303092957
0.9370300769805908,0.9961324334144592,0.9916866421699524
0.9304511547088623,0.9961362481117249,0.9916849732398987
0.9360902309417725,0.9961381554603577,0.9916825890541077
0.9304511547088623,0.9961304664611816,0.9916735291481018
0.9351503849029541,0.9961344599723816,0.991669237613678
0.9379699230194092,0.9961362481117249,0.9916683435440063
0.9285714030265808,0.9961389899253845,0.9916666746139526
0.9313910007476807,0.9961400032043457,0.9916613101959229
0.9379699230194092,0.996138870716095,0.9916568994522095
0.9379699230194092,0.9961410760879517,0.9916574954986572
0.9370300769805908,0.996136486530304,0.9916451573371887
0.9351503849029541,0.9961404204368591,0.9916437864303589
0.9417293071746826,0.9961380958557129,0.99163818359375
0.9417293071746826,0.9961410760879517,0.9916363954544067
0.9295112490653992,0.9961419701576233,0.9916349053382874
0.9379699230194092,0.9961435794830322,0.9916351437568665
0.9360902309417725,0.9961459040641785,0.9916337132453918
0.9266917109489441,0.9961373805999756,0.9916213750839233
0.9285714030265808,0.9961391687393188,0.991620659828186
0.9351503849029541,0.9961380958557129,0.9916191101074219
0.9379699230194092,0.9961362481117249,0.9916126132011414
0.9285714030265808,0.9961342811584473,0.9916043877601624
